id,created_at,upated_at,name,type,diet_category_id
21,2023-02-04 22:58:47.529414+00,2023-02-04 22:58:47.529414+00,Cucumber,,7
50,2023-02-04 23:06:21.141572+00,2023-02-04 23:06:21.141572+00,Bread,White,1
20,2023-02-04 22:58:24.646941+00,2023-02-04 22:58:24.646941+00,Bell Pepper,,7
66,2023-02-04 23:08:35.016596+00,2023-02-04 23:08:35.016596+00,Milk,Fat Free,2
65,2023-02-04 23:08:25.980269+00,2023-02-04 23:08:25.980269+00,Milk,1%,2
1,2023-02-04 21:52:13.194394+00,2023-02-04 21:52:13.194394+00,Chicken,Breast,5
2,2023-02-04 21:53:47.731784+00,2023-02-04 21:53:47.731784+00,Ground Beef,85/15,5
64,2023-02-04 23:08:16.054111+00,2023-02-04 23:08:16.054111+00,Milk,2%,2
3,2023-02-04 21:54:05.791489+00,2023-02-04 21:54:05.791489+00,Ground Beef,93/7,5
63,2023-02-04 23:08:10.636296+00,2023-02-04 23:08:10.636296+00,Milk,Whole,2
4,2023-02-04 21:54:23.575117+00,2023-02-04 21:54:23.575117+00,Steak,NY Strip,5
62,2023-02-04 23:08:03.216409+00,2023-02-04 23:08:03.216409+00,Juice ,Grape,2
5,2023-02-04 21:54:35.174386+00,2023-02-04 21:54:35.174386+00,Steak,Sirloin,5
6,2023-02-04 21:54:46.13815+00,2023-02-04 21:54:46.13815+00,Steak,Ribeye,5
61,2023-02-04 23:07:49.57634+00,2023-02-04 23:07:49.57634+00,Juice,Orange,2
7,2023-02-04 21:54:58.345647+00,2023-02-04 21:54:58.345647+00,Fish,Salmon,5
60,2023-02-04 23:07:44.123826+00,2023-02-04 23:07:44.123826+00,Juice,Apple,2
8,2023-02-04 21:55:07.482298+00,2023-02-04 21:55:07.482298+00,Fish,Cod,5
59,2023-02-04 23:07:34.603377+00,2023-02-04 23:07:34.603377+00,Water,,2
9,2023-02-04 21:55:23.035087+00,2023-02-04 21:55:23.035087+00,Pork,Chop,5
58,2023-02-04 23:07:28.402349+00,2023-02-04 23:07:28.402349+00,Tea,,2
10,2023-02-04 21:55:38.402197+00,2023-02-04 21:55:38.402197+00,Pork,Rib,5
11,2023-02-04 21:55:46.368857+00,2023-02-04 21:55:46.368857+00,Pork,Bacon,5
12,2023-02-04 21:56:10.229907+00,2023-02-04 21:56:10.229907+00,Eggs,Whites,5
13,2023-02-04 21:56:43.373253+00,2023-02-04 21:56:43.373253+00,Eggs,Yolk + White,5
14,2023-02-04 22:56:05.941613+00,2023-02-04 22:56:05.941613+00,Tomato,,7
57,2023-02-04 23:07:23.167233+00,2023-02-04 23:07:23.167233+00,Soda,,2
49,2023-02-04 23:06:15.014646+00,2023-02-04 23:06:15.014646+00,Rice,Brown,1
56,2023-02-04 23:07:16.5988+00,2023-02-04 23:07:16.5988+00,Diet Soda,,2
55,2023-02-04 23:07:09.874078+00,2023-02-04 23:07:09.874078+00,Coffee,,2
19,2023-02-04 22:58:16.26768+00,2023-02-04 22:58:16.26768+00,Broccoli,,7
54,2023-02-04 23:06:56.734632+00,2023-02-04 23:06:56.734632+00,Pasta,Fettuccine,1
15,2023-02-04 22:56:16.687571+00,2023-02-04 22:56:16.687571+00,Lettuce,,7
53,2023-02-04 23:06:46.932235+00,2023-02-04 23:06:46.932235+00,Pasta,Macaroni ,1
16,2023-02-04 22:56:27.600639+00,2023-02-04 22:56:27.600639+00,Onion,,7
52,2023-02-04 23:06:38.682814+00,2023-02-04 23:06:38.682814+00,Pasta,Spaghetti,1
22,2023-02-04 22:58:57.037453+00,2023-02-04 22:58:57.037453+00,Asparagus,,7
51,2023-02-04 23:06:26.734023+00,2023-02-04 23:06:26.734023+00,Bread ,Wheat,1
18,2023-02-04 22:58:04.941767+00,2023-02-04 22:58:04.941767+00,Potatoes,,7
48,2023-02-04 23:06:09.562292+00,2023-02-04 23:06:09.562292+00,Rice,White,1
17,2023-02-04 22:57:37.28148+00,2023-02-04 22:57:37.28148+00,Carrots,,7
47,2023-02-04 23:05:53.413222+00,2023-02-04 23:05:53.413222+00,Salad Dressing,Balsamic Vinaigrette,3
46,2023-02-04 23:05:41.927189+00,2023-02-04 23:05:41.927189+00,Salad Dressing,Thousand Island,3
23,2023-02-04 22:59:19.547689+00,2023-02-04 22:59:19.547689+00,Multivitamin,,6
24,2023-02-04 22:59:28.204088+00,2023-02-04 22:59:28.204088+00,Protein Power,,6
45,2023-02-04 23:05:32.724479+00,2023-02-04 23:05:32.724479+00,Salad Dressing,Blue Cheese,3
25,2023-02-04 22:59:35.064246+00,2023-02-04 22:59:35.064246+00,Fish Oil,,6
44,2023-02-04 23:05:25.033373+00,2023-02-04 23:05:25.033373+00,Salad Dressing,Italian ,3
26,2023-02-04 22:59:42.308484+00,2023-02-04 22:59:42.308484+00,Probiotic,,6
43,2023-02-04 23:05:13.798953+00,2023-02-04 23:05:13.798953+00,Salad Dressing,Ranch,3
27,2023-02-04 22:59:49.167513+00,2023-02-04 22:59:49.167513+00,Fiber,,6
42,2023-02-04 23:04:48.211933+00,2023-02-04 23:04:48.211933+00,Vegetable Oil,,3
41,2023-02-04 23:04:38.843093+00,2023-02-04 23:04:38.843093+00,Peanut Oil,,3
28,2023-02-04 23:00:01.482779+00,2023-02-04 23:00:01.482779+00,Protein Bar,,6
40,2023-02-04 23:04:30.694264+00,2023-02-04 23:04:30.694264+00,Coconut Oil,,3
39,2023-02-04 23:04:23.040246+00,2023-02-04 23:04:23.040246+00,Canola Oil,,3
38,2023-02-04 23:03:07.58016+00,2023-02-04 23:03:07.58016+00,Olive Oil,,3
37,2023-02-04 23:02:58.641814+00,2023-02-04 23:02:58.641814+00,Butter,,3
36,2023-02-04 23:01:05.768111+00,2023-02-04 23:01:05.768111+00,Strawberries,,4
35,2023-02-04 23:00:54.926818+00,2023-02-04 23:00:54.926818+00,Raspberries,,4
34,2023-02-04 23:00:49.097273+00,2023-02-04 23:00:49.097273+00,Blueberries,,4
33,2023-02-04 23:00:41.852918+00,2023-02-04 23:00:41.852918+00,Grape,,4
32,2023-02-04 23:00:36.436242+00,2023-02-04 23:00:36.436242+00,Orange,,4
31,2023-02-04 23:00:31.123743+00,2023-02-04 23:00:31.123743+00,Banana,,4
30,2023-02-04 23:00:25.563296+00,2023-02-04 23:00:25.563296+00,Apple,,4
29,2023-02-04 23:00:10.388877+00,2023-02-04 23:00:10.388877+00,Pre-Workout,,6
