diet_cat_id,food,weight,cals,protein,fats,carbs,fiber,average_portion,portion_cals,portion_protein,portion_fat,portion_carbs,portion_fiber,active
5,Lean Minced Beef,100g,125,22,4.2,0,0,150g,188,33,6.3,0,0,1
5,Minced Beef,100g,225,19.7,16.2,0,0,150g,337,30,24,0,0,1
5,Beef Rump Steak,100g,125,22,4.1,0,0,150g,187,33,6.2,0,0,1
5,Beef Sirloin Steak,100g,134,23,4.5,0,0,150g,202,35,6.8,0,0,1
5,Beef Stewing Steak,100g,146,22,6.4,0,0,150g,219,33,9.6,0,0,1
5,Chicken Light Meat,100g,106,24,1.1,0,0,150g,159,35,1.7,0,0,1
5,Chicken Dark Meat,100g,109,20.9,2.8,0,0,150g,163,31,4.2,0,0,1
5,Lean Minced Lamb,100g,156,19.1,8.8,0,0,150g,234,29,13,0,0,1
5,Minced Lamb,100g,196,19.1,13.3,0,0,150g,294,29,20,0,0,1
5,Lamb Breast,100g,287,16,25,0,0,150g,431,24,37,0,0,1
5,Lamb Neck,100g,203,19.4,13.9,0,0,150g,304,9,21,0,0,1
5,Turkey Light Meat,100g,105,24.4,0.8,0,0,150g,157,37,1.2,0,0,1
5,Turkey Dark Meat,100g,104,20.4,2.5,0,0,150g,156,31,3.8,0,0,1
5,Pork Loin Steak,100g,225,19.9,16.1,0,0,150g,337,30,24,0,0,1
5,Pork Ribs,100g,195,18.7,13.4,0,0,150g,293,28,20,0,0,1
5,Minced Pork,100g,164,19.2,9.7,0,0,150g,246,29,15,0,0,1
5,Bacon,100g,215,16.5,16.5,0,0,105g,225,17,17,0,0,1
5,Streaky Bacon,100g,276,15.8,23.6,0,0,80g,221,13,19,0,0,1
5,Duck Breast (no skin),100g,137,19.7,6.5,0,0,150g,206,30,9.8,0,0,1
5,Duck Breast (with skin),100g,388,13.1,37.3,0,0,140g,582,20,56,0,0,1
5,Venison,100g,103,22.2,1.6,0,0,150g,155,33,2.4,0,0,1
5,Pheasant,100g,144,24.4,3.3,0,0,150g,199.5,36.6,4.9,0,0,1
